VCD info: dumpfile angle_interpolator.vcd opened for output.
time=4230000 | tooth=52 | elapsed=250 | angle=312
time=4250000 | tooth=52 | elapsed=500 | angle=313
time=4270000 | tooth=52 | elapsed=750 | angle=315
time=4290000 | tooth=53 | elapsed=0 | angle=316
time=4310000 | tooth=53 | elapsed=250 | angle=318
time=4330000 | tooth=53 | elapsed=500 | angle=319
time=4350000 | tooth=53 | elapsed=750 | angle=321
time=4370000 | tooth=54 | elapsed=0 | angle=322
time=4390000 | tooth=54 | elapsed=250 | angle=324
time=4410000 | tooth=54 | elapsed=500 | angle=325
time=4430000 | tooth=54 | elapsed=750 | angle=327
time=4450000 | tooth=55 | elapsed=0 | angle=328
time=4470000 | tooth=55 | elapsed=250 | angle=330
time=4490000 | tooth=55 | elapsed=500 | angle=331
time=4510000 | tooth=55 | elapsed=750 | angle=333
time=4530000 | tooth=56 | elapsed=0 | angle=334
time=4550000 | tooth=56 | elapsed=250 | angle=336
time=4570000 | tooth=56 | elapsed=500 | angle=337
time=4590000 | tooth=56 | elapsed=750 | angle=339
time=4610000 | tooth=57 | elapsed=0 | angle=340
time=4630000 | tooth=57 | elapsed=250 | angle=342
time=4650000 | tooth=57 | elapsed=500 | angle=343
time=4670000 | tooth=57 | elapsed=750 | angle=345
time=4690000 | tooth=57 | elapsed=750 | angle=346
